carta,categoria,item,descripcion,alergenos,notas,precio_eur,precio_alt_eur
CARTA JARDIN,Bocados para empezar,Croquetas de Jamón ibérico,"Croquetas cremosas de jamón ibérico rebozadas en panko (7 ud).","Lácteos|Huevos","",15.50,
CARTA JARDIN,Bocados para empezar,Burrata al pesto con fruta de temporada,"Ensalada de burrata con tomate rosa, higos y fresas, aliñada con salsa de pesto y vinagre balsámico.","Dióxido de Azufre y Sulfitos|Lácteos|Frutos de Cáscara","",22.00,
CARTA JARDIN,Bocados para empezar,Revuelto de Boletus y Foie,"Revuelto de boletus guisado con cebolla caramelizada y escalope de foie.","Huevos","",24.95,
CARTA JARDIN,Bocados para empezar,Ensaladilla rusa con ventresca y tostada de aceite de oliva,"Ensaladilla rusa casera con vinagreta de piparra, esferificación de aceituna negra y verde, piparra laminada, polvo de aceituna negra, ventresca de atún y tosta de pan cristal.","Huevos|Pescado","Opción sin gluten",16.00,
CARTA JARDIN,Bocados para empezar,Jamón Ibérico,"Jamón ibérico Reserva de la Familia de Julián Martín, acompañado de picos de pan.","","",33.00,
CARTA JARDIN,Bocados para empezar,Torreznos de Soria con patata revolcona,"Torreznos de Soria horneados, acompañados de patata revolcona, con pimentón dulce de La Vera ahumado, sal de chistorra asada, aceite de pimentón y pimientos de padrón fritos.","","",14.00,
CARTA JARDIN,Bocados para empezar,Sobao con anchoa ahumada y crema de queso Cabrales,"Sobao Pasiego casero acompañado con crema de queso cabrales y coronado con una anchoa del Cantábrico ahumada (2 ud).","Lácteos|Pescado","",12.95,
CARTA JARDIN,Pan y Aperitivo,Pan y Aperitivo,"","",,2.25,
CARTA JARDIN,Nuestros arroces para compartir,Arroz al horno con carrillera,"Para 2 personas. Precio por persona. Arroz “Molino Roca” cocinado en llauna con carrillera guisada, pimientos de padrón, trompeta de la muerte, alioli de ajo asado y salsa demiglace","Dióxido de Azufre y Sulfitos|Huevos|Apio","",24.00,
CARTA JARDIN,Nuestros arroces para compartir,Arroz meloso con bogavante,"Para dos personas, Precio por persona. Arroz “Molino Roca” cocinado en salsa americana y con un bogavante por arroz.","Dióxido de Azufre y Sulfitos|Pescado|Apio|Crustáceos|Moluscos","",35.00,
CARTA JARDIN,Alma Carnívora,Lagarto Ibérico al Pedro Ximénez,"Lagarto ibérico a la brasa glaseado con una reducción de Pedro Ximénez sobre una base de espuma de patata, milhojas de patata y brotes de temporada.","Dióxido de Azufre y Sulfitos|Lácteos","",25.00,
CARTA JARDIN,Alma Carnívora,Chuletón a la brasa,"Chuletón de alta maduración, 45 días, cocinado a la brasa de carbón leña y sal Maldon.","","",95.00,
CARTA JARDIN,Alma Carnívora,Lomo de vaca a la pimienta,"Lomo bajo a la brasa de carbón leña napado con salsa pimienta y acompañado de patatas fritas.","Lácteos","",27.00,
CARTA JARDIN,Alma Carnívora,Steak tartar con torta de pan de aceite,"Steak tartar de solomillo de ternera cortado a cuchillo, preparado en mesa, con picante al gusto.","Dióxido de Azufre y Sulfitos|Huevos|Pescado|Soja|Mostaza","opción sin gluten",28.00,
CARTA JARDIN,Alma Marinera,Merluza en salsa verde,"Merluza a la brasa con salsa verde y acompañado de mini patatas asadas.","Pescado","",26.00,
CARTA JARDIN,Alma Marinera,Rape a la Mediterránea,"Rape a la brasa acompañado de tomate cherry, albahaca, piquillos, mini patatas y tomillo.","Lácteos|Pescado","",29.00,
CARTA JARDIN,Alma Marinera,Chipirones encebollados,"Chipirones salteados y guisados con cebolla caramelizada y guindilla vasca.","Moluscos","",29.00,
CARTA JARDIN,Alma Marinera,Pulpo a la brasa con espuma de patata,"Pulpo a la brasa de carbón leña con espuma de puré de patata, pimentón dulce de la vera y AOVE.","Lácteos|Moluscos","",28.00,
CARTA JARDIN,Alma Marinera,Txangurro a la Donostiarra,"Centollo desmigado gratinado con crema de mariscos, cebolla caramelizada, Brandy y mantequilla. Acompañado de pan cristal.","Lácteos|Crustáceos|Moluscos","",26.00,
CARTA JARDIN,Guarniciones,Ensalada a la Donostiarra,"","Dióxido de Azufre y Sulfitos","",4.00,
CARTA JARDIN,Guarniciones,Patatas fritas,"","","",4.00,
CARTA JARDIN,Guarniciones,Piquillos confitados,"","","",6.00,
CARTA JARDIN,Guarniciones,Pan cristal con tomate,"","","",4.50,
CARTA JARDIN,Alma Pastelera,Brownie de chocolate,"Brownie de chocolate negro y mantequilla tostada acompañado de helado de caramelo salado y sal Maldon.","Lácteos|Huevos|Frutos de Cáscara","",9.00,
CARTA JARDIN,Alma Pastelera,Coulant de avellana,"Coulant de avellana horneado al momento (8min), fundido por dentro, acompañado de helado de frutos rojos.","Dióxido de Azufre y Sulfitos|Lácteos|Huevos|Frutos de Cáscara","",11.00,
CARTA JARDIN,Alma Pastelera,Milhojas de maracuyá,"Milhojas con crema diplomática de maracuyá y helado de coco.","Lácteos","",12.00,
CARTA JARDIN,Alma Pastelera,Torrija de toffee y jengibre,"Torrija en pan brioche macerada en toffee, jengibre y cítricos, acompañado de helado de café.","Dióxido de Azufre y Sulfitos|Lácteos|Huevos|Frutos de Cáscara","",9.00,
CARTA DE VINOS,Tintos DOP Madrid y Sierra de Gredos,El Hombre Bala,"98% Garnacha 2% Cariñena.","","",41.00,
CARTA DE VINOS,Tintos DOP Madrid y Sierra de Gredos,Península,"Vino de montaña, Sierra de Gredos y Gata. 75% Garnacha, 15% Rufete y 10% Piñuela.","","",25.00,
CARTA DE VINOS,Tintos DOP Madrid y Sierra de Gredos,Molaracha,"95% Garnacha y 5% Malvar. Bodega Tinta Castiza.","","",33.00,
CARTA DE VINOS,Tintos DOP Ribera Sacra,Tolo do Xisto,"100% Mencía.","","",37.00,
CARTA DE VINOS,Tintos VT Extremadura,Habla del Silencio,"50% Syrah 30% Tempranillo 20% Cabernet Sauvignon","","",28.00,
CARTA DE VINOS,Tintos DOVT Cádiz,Forlong Terracota,"100% Tintilla de Rota. Bodegas Forlong.","","",36.00,
CARTA DE VINOS,Tintos DOCa Priorat,Pissarres,"50% Garnacha 40% Cariñena 10% Cabernet Sauvignon.","","",30.00,
CARTA DE VINOS,Tintos DOCa Priorat,Samsara del Priorat,"50% Garnacha 35% Cariñena 10% Syrah 5% Cabernet Sauvignon.","","",37.00,
CARTA DE VINOS,Tintos DOCa Rioja,Laderas Bideona Tempranillo,"100% Tempranillo. Bodega Bideona.","","",27.00,
CARTA DE VINOS,Tintos DOCa Rioja,Heraclio Alfaro Crianza,"85% Tempranillo, 10% Garnacha y 5% Graciano.","","",26.00,
CARTA DE VINOS,Tintos DOCa Rioja,200 Monges Reserva,"85% tempranillo, 10% Graciano y 5% Garnacha tinta.","","",67.00,
CARTA DE VINOS,Tintos DOCa Rioja,Marqués de Riscal Reserva,"100% Tempranillo. Bodega Marqués de Riscal.","","",39.00,
CARTA DE VINOS,Tintos DOCa Rioja,Martínez Lacuesta Selecto Crianza,"100% Tempranillo.","","",4.50,26.00
CARTA DE VINOS,Tintos DOCa Rioja,CM de Matarromera,"100% Tempranillo. Bodegas Matarromera.","","",36.00,
CARTA DE VINOS,Tintos DOCa Rioja,Azpilicueta Origen,"100% Tempranillo. Bodega Azpilicueta.","","",27.00,
CARTA DE VINOS,Tintos DOCa Rioja,Beronia Reserva 198 Barricas,"100% Tempranillo.","","",37.00,
CARTA DE VINOS,Tintos DOCa Rioja,Cristo de Samaniego,"100% Tempranillo.","","",65.00,
CARTA DE VINOS,DOP Ribera Del Duero,Malleolus de Emilio Moro,"100% Tinto Fino.","","",52.00,
CARTA DE VINOS,DOP Ribera Del Duero,Matarromera Crianza,"100% Tempranillo.","","",41.00,
CARTA DE VINOS,DOP Ribera Del Duero,Arzuaga Crianza,"95% Tempranillo y 5% Cabernet Sauvignon.","","",43.00,
CARTA DE VINOS,DOP Ribera Del Duero,Aureo,"100% Tempranillo. Bodega Avelino Vegas.","","",38.00,
CARTA DE VINOS,DOP Ribera Del Duero,Carmelo Rodero 9 Meses,"100% Tempranillo. Bodega Carmelo Rodero.","","",33.00,
CARTA DE VINOS,DOP Ribera Del Duero,Carmelo Rodero Crianza,"100% Tempranillo. Bodega Carmelo Rodero.","","",44.00,
CARTA DE VINOS,DOP Ribera Del Duero,Emilio Moro Cosecha,"100% Tempranillo. Bodega Emilio Moro.","","",41.00,
CARTA DE VINOS,DOP Ribera Del Duero,Pago de Capellanes Reserva,"100% Tempranillo. Bodega Pago de Capellanes.","","",57.00,
CARTA DE VINOS,DOP Ribera Del Duero,Melior Roble,"100% Tempranillo.","","",4.50,26.00
CARTA DE VINOS,DOP Ribera Del Duero,Prestigio Matarromera,"100% Tempranillo.","","",71.00,
CARTA DE VINOS,DOP Ribera Del Duero,Marqués de Burgos 8000,"100% Tempranillo. Bodegas LAN.","","",46.00,
CARTA DE VINOS,Tintos VT Castilla y León,Abadia Retuerta Selección,"77%Tempranillo, 12% Cabernet Sauvignon, 9% Syrah y 2% Merlot","","",51.50,
CARTA DE VINOS,Tintos DO Somontano,Hop-Hop Grillo,"50% Syrah y 50% Garnacha. Bodega El Grillo y la Luna.","","",42.00,
CARTA DE VINOS,Blancos. DO Rueda,Circe,"100% Verdejo. Bodega Avelino Vegas.","","",27.00,
CARTA DE VINOS,Blancos. DO Rueda,Melior Verdejo,"100% Verdejo. Bodega Matarromera.","","",4.50,24.00
CARTA DE VINOS,Blancos. DO Rueda,Semidulce La Chalada,"100% Verdejo. Bodega Javier Sanz.","","",4.50,26.00
CARTA DE VINOS,Blancos. DO Rueda,Sanz Sauvignon Blanco,"100% Sauvignon Blanco. Bodega Javier Sanz.","","",26.00,
CARTA DE VINOS,Blancos VT Tierra de Castilla-León,Belondrade Quinta Apolonia,"100% Verdejo. Bodega Belondrade.","","",39.00,
CARTA DE VINOS,Blancos VT Tierra de Castilla-León,Díscolo,"Malvasía y Verdejo.","","",37.00,
CARTA DE VINOS,Blancos DO Rías Baixas,Terras Gauda,"70% Albariño 22% Caiño Blanco 8% Loureiro.","","",34.00,
CARTA DE VINOS,Blancos DO Rías Baixas,Martin Codax,"100% Albariño.","","",4.50,27.00
CARTA DE VINOS,Blancos DO Rías Baixas,Santiago Ruiz,"74% Albariño, 8% Loureiro, 8% Godello, 5% Treixadura, 5% Caiño Blanco. Bodega Santiago Ruiz.","","",38.00,
CARTA DE VINOS,Blancos DO Rías Baixas,Viña Caeira Matarromera,"100% Albariño. Bodega Matarromera.","","",32.00,
CARTA DE VINOS,Blancos DO Bierzo,La Revelia de Emilio Moro,"100% Godello.","","",49.00,
CARTA DE VINOS,Blancos DO Bierzo,Sonrisa Dominio de Tares,"100% Godello.","","",26.00,
CARTA DE VINOS,Blancos D.O. Monterrei,Mara Martín,"100% Godello.","","",4.50,27.00,
CARTA DE VINOS,Blancos DO Rioja,Bideona Cabezadas,"100% Viura. Bodegas Bideona.","","",27.00,
CARTA DE VINOS,Rosados VT Castilla-León,Nicte Rosa Pálido,"100% Prieto picudo. Bodega Avelino Vegas.","","",27.00,
CARTA DE VINOS,Cavas y Champagnes,Champagne Telmont Reserve Rose,"87% Chardonnay y 13% Meunier. Bodega Champagne Telmont.","","",98.00,
CARTA DE VINOS,Cavas y Champagnes,Champagne G.H. Mumm,"30% Chardonnay, 25% Pinot Meunier, 45% Pinot Noir. Bodega G.H. Mumm.","","",85.00,
CARTA DE VINOS,Cavas y Champagnes,Cava Canals Nadal Brut Nature Reserva,"45% Macabeu, 40% Xarel·lo, 15% Parellada. Bodega Canals Nadal.","","",6.50,28.00
CARTA DE VINOS,Cavas y Champagnes,Cava Canals Nadal Brut Rosé,"100% Monovarietal de Trepat. Bodegas Canals Nadal.","","",7.00,32.00
CARTA DE VINOS,Cavas y Champagnes,Cava Canals Nadal BN Reserva Xarel-lo,"100% Xarel-lo. Bodega Canals Nadal.","","",34.00,
CARTA DE VINOS,Vinos generosos y dulces (Por copa),Amontillado Micaela,"Palomino Fino","","",4.50,
CARTA DE VINOS,Vinos generosos y dulces (Por copa),Manzanilla Micaela,"Palomino Fino","","",5.50,
CARTA DE VINOS,Vinos generosos y dulces (Por copa),Pedro Ximenez Micaela,"Pedro Ximenez","","",6.50,
CARTA ESPIRITUOSOS,Cocteles,Petroni Spritz,"El aperitivo gallego, versión del Aperol spritz con Petroni aperitivo, cava y soda.","","",12.00,
CARTA ESPIRITUOSOS,Cocteles,Rebujito Soho's,"Vino fino con limón, hierbabuena y bergamota en spritz.","","",9.00,
CARTA ESPIRITUOSOS,Cocteles,Mojito,"Ron blanco, zumo de lima, azúcar de caña, menta, soda.","","",12.00,
CARTA ESPIRITUOSOS,Cocteles,Margarita,"Tequila, zumo de lima, licor de naranja y sirope de azúcar.","","",12.00,
CARTA ESPIRITUOSOS,Cocteles,Caipirinha,"Caipirinha clásica a base de Cachaza, zumo de lima y azúcar.","","",12.00,
CARTA ESPIRITUOSOS,Whisky,DYC 8,"Botella 100€","","",11.00,
CARTA ESPIRITUOSOS,Whisky,Makers Mark,"Botella 120€","","",12.00,
CARTA ESPIRITUOSOS,Whisky,Jameson,"Botella 120€","","",11.00,
CARTA ESPIRITUOSOS,Whisky,Hibiki Suntory Harmony,"Botella 200€","","",25.00,
CARTA ESPIRITUOSOS,Whisky,Toki Suntory,"Botella 120€","","",14.00,
CARTA ESPIRITUOSOS,Whisky,Macallan 12,"","","",18.00,
CARTA ESPIRITUOSOS,Whisky,JW Black Label,"Botella 140€","","",14.00,
CARTA ESPIRITUOSOS,Whisky,JW Red Label,"Botella 120€","","",10.00,
CARTA ESPIRITUOSOS,Whisky,J&B,"","","",10.00,
CARTA ESPIRITUOSOS,Whisky,Dewar's White Label,"Botella 100€","","",10.00,
CARTA ESPIRITUOSOS,Whisky,Flaming Pig,"Botella 140€","","",14.00,
CARTA ESPIRITUOSOS,Whisky,Chivas 12,"","","",16.00,
CARTA ESPIRITUOSOS,Whisky,Jack Daniels,"","","",12.00,
CARTA ESPIRITUOSOS,Whisky,Ballantine's,"","","",10.00,
CARTA ESPIRITUOSOS,Ron,Matusalén 10,"Botella 140€","","",12.00,
CARTA ESPIRITUOSOS,Ron,Zacapa 23,"Botella 160€","","",18.00,
CARTA ESPIRITUOSOS,Ron,Santa Teresa,"Botella 100€","","",10.00,
CARTA ESPIRITUOSOS,Ron,Barceló,"","","",10.00,
CARTA ESPIRITUOSOS,Ron,Brugal,"","","",10.00,
CARTA ESPIRITUOSOS,Ron,Havana Club Especial,"","","",10.00,
CARTA ESPIRITUOSOS,Vodka,Absolut,"","","",10.00,
CARTA ESPIRITUOSOS,Vodka,Grey Goose,"Botella 140€","","",16.00,
CARTA ESPIRITUOSOS,Tequila,Olmeca blanco,"","","",5.00,10.00
CARTA ESPIRITUOSOS,Tequila,Olmeca Reposado,"","","",5.00,10.00,
CARTA ESPIRITUOSOS,Gin,Martin Miller's,"Botella 120€","","",14.00,
CARTA ESPIRITUOSOS,Gin,G'vine,"Botella 140€","","",16.00,
CARTA ESPIRITUOSOS,Gin,Gin Mare,"Botella 140€","","",16.00,
CARTA ESPIRITUOSOS,Gin,Canaima Gin,"Botella 140€","","",12.00,
CARTA ESPIRITUOSOS,Gin,Bombay Sapphire,"Botella 120€","","",11.00,
CARTA ESPIRITUOSOS,Gin,Roku Gin,"Botella 120€","","",16.00,
CARTA ESPIRITUOSOS,Gin,Le Tribute,"Ginebra","","",16.00,
CARTA ESPIRITUOSOS,Gin,Larios 12,"Botella 100€","","",11.00,
CARTA ESPIRITUOSOS,Gin,Beefeater,"Ginebra","","",11.00,
CARTA ESPIRITUOSOS,Gin,Hendrick's,"","","",16.00,
CARTA ESPIRITUOSOS,Gin,Martin Miller´s Westbourn,"","","",18.00,
CARTA ESPIRITUOSOS,Gin,Puerto de Indias,"","","",11.00,
CARTA ESPIRITUOSOS,Gin,Seagram's,"","","",11.00,
CARTA ESPIRITUOSOS,Gin,Seagram´s 0'0,"","","",10.00,
CARTA ESPIRITUOSOS,Gin,Tanqueray,"","","",11.00,
CARTA ESPIRITUOSOS,Vermús,Petroni Rojo,"","","",7.00,
CARTA ESPIRITUOSOS,Vermús,Petroni Blanco,"","","",7.00,
CARTA ESPIRITUOSOS,Vermús,Martini Bianco,"","","",6.00,
CARTA ESPIRITUOSOS,Vermús,Martini Dry,"","","",6.00,
CARTA ESPIRITUOSOS,Vermús,Martini Floral,"","","",6.00,
CARTA ESPIRITUOSOS,Vermús,Martini Vibrante,"","","",6.00,
CARTA ESPIRITUOSOS,Licores,Licor Baileys,"","","",5.00,8.00
CARTA ESPIRITUOSOS,Licores,Licor Crema de orujo,"","","",4.00,6.50
CARTA ESPIRITUOSOS,Licores,Licor de café,"","","",4.00,6.50
CARTA ESPIRITUOSOS,Licores,Licor de hierbas,"","","",4.00,6.50
CARTA ESPIRITUOSOS,Licores,Licor Limoncello,"","","",4.00,6.50
CARTA ESPIRITUOSOS,Licores,Licor Manzana,"","","",4.00,6.50
CARTA ESPIRITUOSOS,Licores,Licor Orujo,"","","",4.00,6.50
CARTA ESPIRITUOSOS,Licores,Licor pacharán Berezco,"","","",5.00,8.00
